Pathway(ConsensusPathDB)	Pathway(KEGG)_full	Function_description	MIM_phenotype_id	Trait_association(GWAS)	GO_biological_process	GO_cellular_component	GO_molecular_function	Ensembl_geneid
.	.	FUNCTION: Tethering factor involved in autophagy. Involved in autophagosome maturation by promoting the autophagosome fusion with lysosomes: acts by associating with both the ATG5-ATG12 conjugate and phosphatidylinositol-3-phosphate (PtdIns(3)P) present at the surface of autophagosomes. Also involved in selective autophagy against bacterial pathogens, by being required for phagophore/preautophagosomal structure biogenesis and maturation. {ECO:0000269|PubMed:21575909, ECO:0000269|PubMed:22342342}.; 	.	.	autophagy;autophagosome maturation	autophagosome membrane;nucleoplasm;lysosomal membrane;integral component of membrane;cytoplasmic vesicle;intracellular membrane-bounded organelle	protein binding;phosphatidylinositol-3-phosphate binding	ENSG00000205356
HTLV-I infection - Homo sapiens (human);Signaling by WNT;Signal Transduction;multi-step regulation of transcription by pitx2;Post-translational protein modification;Metabolism of proteins;Chromatin modifying enzymes;HATs acetylate histones;Ub-specific processing proteases;Deubiquitination;Chromatin organization;C-MYC pathway;Direct p53 effectors;Regulation of nuclear beta catenin signaling and target gene transcription;Validated targets of C-MYC transcriptional activation;Formation of the beta-catenin:TCF transactivating complex;TCF dependent signaling in response to WNT;E2F transcription factor network	.	FUNCTION: Adapter protein, which is found in various multiprotein chromatin complexes with histone acetyltransferase activity (HAT), which gives a specific tag for epigenetic transcription activation. Component of the NuA4 histone acetyltransferase complex which is responsible for acetylation of nucleosomal histones H4 and H2A. Plays a central role in MYC transcription activation, and also participates in cell transformation by MYC. Required for p53/TP53-, E2F1- and E2F4-mediated transcription activation. Also involved in transcription activation mediated by the adenovirus E1A, a viral oncoprotein that deregulates transcription of key genes. Probably acts by linking transcription factors such as E1A, MYC or E2F1 to HAT complexes such as STAGA thereby allowing transcription activation. Probably not required in the steps following histone acetylation in processes of transcription activation. May be required for the mitotic checkpoint and normal cell cycle progression. Component of a SWR1- like complex that specifically mediates the removal of histone H2A.Z/H2AFZ from the nucleosome. {ECO:0000269|PubMed:11418595, ECO:0000269|PubMed:12138177, ECO:0000269|PubMed:12660246, ECO:0000269|PubMed:12743606, ECO:0000269|PubMed:14966270, ECO:0000269|PubMed:17967892, ECO:0000269|PubMed:24463511, ECO:0000269|PubMed:9708738}.; 	.	Mean corpuscular volume[27863252];	DNA repair;regulation of transcription, DNA-templated;histone acetylation;histone deubiquitination;protein deubiquitination;histone H4 acetylation;histone H2A acetylation;beta-catenin-TCF complex assembly	SAGA complex;PCAF complex;Swr1 complex;nucleus;nucleoplasm;Golgi apparatus;STAGA complex;transcription factor TFTC complex;NuA4 histone acetyltransferase complex	transcription coregulator activity;protein binding;thiol-dependent ubiquitinyl hydrolase activity	ENSG00000196367
Disease;NS1 Mediated Effects on Host Pathways;Host Interactions with Influenza Factors;Influenza Infection;Infectious disease	.	FUNCTION: Functions in nuclear protein import. {ECO:0000250}.; 	.	Inflammatory bowel disease[28067908];Facial emotion recognition (sad faces)[28608620];Ulcerative colitis[20228798;28067908];	protein import into nucleus;modulation by virus of host process	nucleoplasm;cytosol	protein binding;protein transporter activity;nuclear import signal receptor activity	ENSG00000185467
.	.	.	.	.	.	.	.	ENSG00000284292
Neutrophil degranulation;Innate Immune System;Immune System	.	FUNCTION: Enhances PDGFA-stimulated cell growth in fibroblasts, but inhibits the mitogenic effect of PDGFB. {ECO:0000250}.; 	.	Facial emotion recognition (sad faces)[28608620];Serum metabolite levels[23093944;23093944];	signal transduction;cell population proliferation;neutrophil degranulation	extracellular region;cytosol;plasma membrane;ficolin-1-rich granule lumen	RNA binding	ENSG00000106244
.	.	.	.	.	.	.	.	ENSG00000106246
Retinoblastoma (RB) in Cancer;Gene expression (Transcription);Generic Transcription Pathway;RNA Polymerase II Transcription	.	FUNCTION: May be involved in transcriptional regulation.; 	.	Serum metabolite levels[23093944;23093944;23093944];	regulation of transcription by RNA polymerase II;negative regulation of G1/S transition of mitotic cell cycle	nucleus;nucleolus;cytoplasm	DNA-binding transcription factor activity, RNA polymerase II-specific;molecular_function;DNA binding;protein binding;metal ion binding	ENSG00000197343
.	.	.	.	.	.	.	.	ENSG00000160870
Citalopram Pathway, Pharmacokinetics;Artemisinin and Derivatives Pathway, Pharmacokinetics;Celecoxib Pathway, Pharmacokinetics;Benzodiazepine Pathway, Pharmacokinetics;Retinol metabolism - Homo sapiens (human);Steroid hormone biosynthesis - Homo sapiens (human);Bile secretion - Homo sapiens (human);Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human);Drug metabolism - other enzymes - Homo sapiens (human);Drug metabolism - cytochrome P450 - Homo sapiens (human);Linoleic acid metabolism - Homo sapiens (human);Chemical carcinogenesis - Homo sapiens (human);Carbamazepine Pathway, Pharmacokinetics;Imipramine/Desipramine Pathway, Pharmacokinetics;Imatinib Pathway, Pharmacokinetics/Pharmacodynamics;Losartan Pathway, Pharmacokinetics;Statin Pathway - Generalized, Pharmacokinetics;Atorvastatin/Lovastatin/Simvastatin Pathway, Pharmacokinetics;Fluvastatin Pathway, Pharmacokinetics;Warfarin Pathway, Pharmacokinetics;Phenytoin Pathway, Pharmacokinetics;Tamoxifen Pathway, Pharmacokinetics;Codeine and Morphine Pathway, Pharmacokinetics;Vinka Alkaloid Pathway, Pharmacokinetics;Gefitinib Pathway, Pharmacokinetics;Proton Pump Inhibitor Pathway, Pharmacokinetics;Anti-diabetic Drug Repaglinide Pathway, Pharmacokinetics;Anti-diabetic Drug Nateglinide Pathway, Pharmacokinetics;Clopidogrel Pathway, Pharmacokinetics;Taxane Pathway, Pharmacokinetics;Erlotinib Pathway, Pharmacokinetics;Fluoxetine Pathway, Pharmacokinetics;Zidovudine Pathway, Pharmacokinetics/Pharmacodynamics;Caffeine Pathway, Pharmacokinetics;Tramadol Pharmacokinetics;Metformin Pathway, Pharmacodynamic;Nevirapine Pathway, Pharmacokinetics;Theophylline Pathway, Pharmacokinetics;Sorafenib Pharmacokinetics;Clomipramine Pathway, Pharmacokinetics;Mycophenolic acid Pathway, Pharmacokinetics;Mycophenolic acid Pathway, Pharmacokinetics/Pharmacodynamics;Doxepin Pathway, Pharmacokinetics;Tacrolimus/Cyclosporine Pathway, Pharmacokinetics;Pathway_PA165986194 -need delete;Acetaminophen Pathway, Pharmacokinetics;Venlafaxine Pathway, Pharmacokinetics;Ibuprofen Pathway, Pharmacokinetics;Irinotecan Pathway, Pharmacokinetics;Etoposide Pathway, Pharmacokinetics/Pharmacodynamics;Cyclophosphamide Pathway, Pharmacokinetics;Ifosfamide Pathway, Pharmacokinetics;Ibuprofen Action Pathway;Phenytoin (Antiarrhythmic) Action Pathway;Artemether Metabolism Pathway;Mycophenolic Acid Metabolism Pathway;Fluoxetine Action Pathway;Imipramine Action Pathway;Ibuprofen Metabolism Pathway;Clopidogrel Metabolism Pathway;Lidocaine (Antiarrhythmic) Action Pathway;Celecoxib Action Pathway;Methadone Metabolism Pathway;Imipramine Metabolism Pathway;Lidocaine (Local Anaesthetic) Metabolism Pathway;Codeine Metabolism Pathway;Clopidogrel Action Pathway;Irinotecan Action Pathway;Vinblastine Action Pathway;Vinorelbine Action Pathway;Lidocaine (Local Anaesthetic) Action Pathway;Tamoxifen Action Pathway;Methadone Action Pathway;Codeine Action Pathway;Tramadol Metabolism Pathway;Venlafaxine Metabolism Pathway;Carbamazepine Metabolism Pathway;Felbamate Metabolism Pathway;Prednisone Metabolism Pathway;Clomipramine Metabolism Pathway;Cyclophosphamide Action Pathway;Prednisone Action Pathway;Etoposide Action Pathway;Teniposide Action Pathway;Ifosfamide Action Pathway;Sorafenib Metabolism Pathway;Acetaminophen Metabolism Pathway;Doxepin Metabolism Pathway;Vitamin A Deficiency;Fluoxetine Metabolism Pathway;Celecoxib Metabolism Pathway;Nevirapine Metabolism Pathway;Caffeine Metabolism;Teniposide Metabolism Pathway;Irinotecan Metabolism Pathway;Etoposide Metabolism Pathway;Tamoxifen Metabolism Pathway;Cyclophosphamide Metabolism Pathway;Ifosfamide Metabolism Pathway;Retinol Metabolism;Codeine and Morphine Metabolism;Fatty Acid Omega Oxidation;Drug Induction of Bile Acid Pathway;Irinotecan Pathway;Nifedipine Activity;Lidocaine metabolism;Felbamate Metabolism;Cocaine metabolism;Liver X Receptor Pathway;Constitutive Androstane Receptor Pathway;Pregnane X Receptor pathway;Vitamin D Receptor Pathway;Farnesoid X Receptor Pathway;Nuclear Receptors Meta-Pathway;Nuclear Receptors in Lipid Metabolism and Toxicity;Cannabinoid receptor signaling;Angiopoietin Like Protein 8 Regulatory Pathway;Liver steatosis AOP;Oxidation by Cytochrome P450;Tryptophan metabolism;Tamoxifen metabolism;Benzo(a)pyrene metabolism;Estrogen metabolism;Aflatoxin B1 metabolism;Metapathway biotransformation Phase I and II;Phase I - Functionalization of compounds;Metabolism of lipids;Xenobiotics;Tyrosine metabolism;Androgen and estrogen biosynthesis and metabolism;Cytochrome P450 - arranged by substrate type;Leukotriene metabolism;Biological oxidations;Metabolism;Biosynthesis of maresin-like SPMs;Biosynthesis of maresins;Biosynthesis of DHA-derived SPMs;Biosynthesis of specialized proresolving mediators (SPMs);Fatty acid metabolism;Linoleate metabolism;Bile acid biosynthesis;C21-steroid hormone biosynthesis and metabolism;Xenobiotics metabolism;Tryptophan degradation;Aflatoxin activation and detoxification;Arachidonic acid metabolism	gamma-Hexachlorocyclohexane degradation;Linoleic acid metabolism;Retinol metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450;Drug metabolism - other enzymes	FUNCTION: Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation reactions (e.g. caffeine 8-oxidation, omeprazole sulphoxidation, midazolam 1'-hydroxylation and midazolam 4- hydroxylation) of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics. Acts as a 1,8-cineole 2- exo-monooxygenase. The enzyme also hydroxylates etoposide (PubMed:11159812). Catalyzes 4-beta-hydroxylation of cholesterol. May catalyze 25-hydroxylation of cholesterol in vitro (PubMed:21576599). {ECO:0000269|PubMed:11159812, ECO:0000269|PubMed:21576599}.; 	.	Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor[25935875];Sex hormone levels[26014426;26014426;26014426];Tacrolimus trough concentration in kidney transplant patients[29160300];Metabolic traits[21886157];	lipid hydroxylation;lipid metabolic process;steroid catabolic process;xenobiotic metabolic process;steroid metabolic process;androgen metabolic process;alkaloid catabolic process;monoterpenoid metabolic process;drug metabolic process;calcitriol biosynthetic process from calciol;vitamin D metabolic process;drug catabolic process;exogenous drug catabolic process;long-chain fatty acid biosynthetic process;heterocycle metabolic process;oxidation-reduction process;oxidative demethylation	cytoplasm;endoplasmic reticulum membrane;integral component of membrane;organelle membrane;intracellular membrane-bounded organelle	monooxygenase activity;steroid binding;iron ion binding;steroid hydroxylase activity;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;oxygen binding;enzyme binding;heme binding;vitamin D3 25-hydroxylase activity;caffeine oxidase activity;testosterone 6-beta-hydroxylase activity;vitamin D 24-hydroxylase activity;estrogen 16-alpha-hydroxylase activity	ENSG00000160868
Chemical carcinogenesis - Homo sapiens (human);Vitamin A Deficiency;Retinol Metabolism;Aripiprazole Metabolic Pathway;Oxidation by Cytochrome P450;Metapathway biotransformation Phase I and II;Phase I - Functionalization of compounds;Xenobiotics;Tyrosine metabolism;Androgen and estrogen biosynthesis and metabolism;Miscellaneous substrates;Cytochrome P450 - arranged by substrate type;Leukotriene metabolism;Biological oxidations;Metabolism;Linoleate metabolism;C21-steroid hormone biosynthesis and metabolism;Xenobiotics metabolism;Tryptophan degradation;Arachidonic acid metabolism	gamma-Hexachlorocyclohexane degradation;Linoleic acid metabolism;Retinol metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450;Drug metabolism - other enzymes	FUNCTION: Exhibits low testosterone 6-beta-hydroxylase activity.; 	.	Serum metabolite levels[23093944];Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor[25935875];Tacrolimus trough concentration in kidney transplant patients[29160300];Dehydroepiandrosterone sulphate levels[21533175];	oxidation-reduction process	endoplasmic reticulum membrane;organelle membrane	monooxygenase activity;iron ion binding;heme binding;aromatase activity	ENSG00000021461
